,count,mean,min,max,std_dev
PERSONAL_INCOME,87706.0,109794.55217430963,1.0,1557000.0,122372.4472710349
FAMILY_INCOME,87706.0,300013.14723052015,1.0,9999999.0,1010146.795231952
LOG_OF_PERSONAL_INCOME,87706.0,11.113559113231561,0.0,14.258271450816135,1.1437652794462765
LOG_OF_FAMILY_INCOME,87706.0,11.893054848852843,0.0,16.118095550958316,1.0130425985668052
TECHNICAL_CONSULTING_DUMMY,87706.0,1.9774701844799671,1.0,2.0,0.14839971033305938
OCCUPATION_GROUP,87706.0,3.1361366383143685,1.0,9.0,2.028007893068846
SEX,87706.0,1.5162360613869064,1.0,2.0,0.4997391697372
AGE,87706.0,42.36495792762183,19.0,64.0,11.826745149158933
MARITAL_STATUS,87706.0,1.3975212642236563,1.0,2.0,0.4893882297698113
RACE_N,87706.0,1.4544386929058446,1.0,2.0,0.49792267882889907
METROPOLITAN_STATUS,87706.0,3.2138850249697852,1.0,4.0,0.9201934321268592
CITIZENSHIP_STATUS,87706.0,0.6178368640685928,0.0,3.0,1.055231245333565
ENGLISH_SPEAKING_STATUS,87706.0,1.0017672679178165,1.0,2.0,0.04200196181669424
EDUCATION_LEVEL,87706.0,10.381273801108248,10.0,11.0,0.4857023568418905
EMPLOYMENT_STATUS,87706.0,1.8987184457163706,1.0,2.0,0.30170289836814823
VETERAN_STATUS,87706.0,1.033452671424988,1.0,2.0,0.17981645881993163
WEEKS_WORKED_LAST_YEAR,87706.0,46.72784074065628,0.0,52.0,13.201387308038633
